epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.848,0.4521,2.99212,1.17008,0.00397,1,0.19014,0.1275,0.65595,3.94109,0.9096,0.000361075,0.000361075,0.000361075
2,140.67,0.23959,2.18878,0.99181,0.19394,0.9375,0.40602,0.24475,1.13971,3.13552,0.90907,0.000716926,0.000716926,0.000716926
3,203.457,0.24595,1.97373,1.00646,0.25507,0.48121,0.41552,0.31079,0.85276,3.31671,0.79911,0.00105811,0.00105811,0.00105811
4,264.776,0.24197,1.78339,0.97723,0.41977,0.70713,0.59213,0.55007,0.37978,2.22439,0.59135,0.00104501,0.00104501,0.00104501
5,326.601,0.21957,1.67291,0.96562,0.45735,0.64832,0.5454,0.53184,0.23133,3.10042,0.38177,0.00102301,0.00102301,0.00102301
6,388.928,0.20916,1.56995,0.96262,0.57696,0.59594,0.68747,0.65302,0.31742,1.95266,0.45197,0.00100101,0.00100101,0.00100101
7,450.94,0.19695,1.47904,0.96034,0.49363,0.775,0.66911,0.62031,0.35236,2.05532,0.49674,0.000979013,0.000979013,0.000979013
8,512.178,0.18418,1.34504,0.93981,0.64287,0.86908,0.84151,0.78393,0.32389,1.81066,0.48279,0.000957015,0.000957015,0.000957015
9,573.725,0.16918,1.28171,0.94514,0.69502,0.79966,0.84003,0.78909,0.29674,1.60772,0.41666,0.000935018,0.000935018,0.000935018
10,636.249,0.17464,1.197,0.9327,0.57171,0.90789,0.83919,0.82948,0.20655,1.64125,0.31304,0.00091302,0.00091302,0.00091302
11,698.473,0.16526,1.18685,0.94129,0.62135,0.82731,0.8144,0.78187,0.27653,1.63199,0.43009,0.000891022,0.000891022,0.000891022
12,758.51,0.14588,1.08599,0.92164,0.83133,0.77058,0.85075,0.85075,0.15832,1.34652,0.2866,0.000869024,0.000869024,0.000869024
13,820.075,0.14967,1.13848,0.92883,0.6684,0.79923,0.85162,0.83029,0.23927,1.60035,0.37188,0.000847026,0.000847026,0.000847026
14,882.551,0.13917,1.06972,0.9297,0.73323,0.84728,0.87445,0.87445,0.21886,1.3408,0.32927,0.000825029,0.000825029,0.000825029
15,944.694,0.13686,1.00793,0.91485,0.77836,0.83423,0.89963,0.89772,0.1977,1.32648,0.31095,0.000803031,0.000803031,0.000803031
16,1006.35,0.13366,0.95822,0.92658,0.83508,0.89605,0.94093,0.91295,0.30213,1.24073,0.41647,0.000781033,0.000781033,0.000781033
17,1067.7,0.12911,0.93923,0.91513,0.88449,0.83181,0.91099,0.90474,0.25058,1.15247,0.37392,0.000759035,0.000759035,0.000759035
18,1129.83,0.12016,0.89214,0.88902,0.80076,0.8205,0.88686,0.85131,0.27391,1.21416,0.34328,0.000737037,0.000737037,0.000737037
19,1190.71,0.12052,0.89733,0.90977,0.8162,0.9124,0.93459,0.93242,0.19007,1.11362,0.30278,0.00071504,0.00071504,0.00071504
20,1251.62,0.11393,0.84793,0.91046,0.87787,0.92936,0.95556,0.95556,0.18352,0.97107,0.29119,0.000693042,0.000693042,0.000693042
21,1311.96,0.11722,0.80134,0.91663,0.88757,0.89955,0.92693,0.91905,0.21273,1.05268,0.32284,0.000671044,0.000671044,0.000671044
22,1372.08,0.11338,0.79279,0.91437,0.86417,0.93283,0.95908,0.95908,0.19526,0.88993,0.29381,0.000649046,0.000649046,0.000649046
23,1432.73,0.11487,0.7745,0.92599,0.93104,0.88333,0.95832,0.95832,0.20385,0.93149,0.28999,0.000627048,0.000627048,0.000627048
24,1493.72,0.11267,0.73025,0.90429,0.88809,0.87945,0.94664,0.94149,0.23442,0.89911,0.34517,0.000605051,0.000605051,0.000605051
25,1554.38,0.1051,0.71776,0.91437,0.85739,0.92575,0.95113,0.9424,0.24484,0.87376,0.37465,0.000583053,0.000583053,0.000583053
26,1615.01,0.10097,0.7223,0.90281,0.923,0.91412,0.95875,0.95751,0.20098,0.89959,0.29929,0.000561055,0.000561055,0.000561055
27,1676.78,0.09583,0.6698,0.91057,0.92652,0.94093,0.96996,0.96996,0.1693,0.79824,0.25634,0.000539057,0.000539057,0.000539057
28,1738.64,0.09525,0.68457,0.90519,0.89439,0.85372,0.93238,0.92899,0.2186,1.03389,0.31582,0.000517059,0.000517059,0.000517059
29,1805.07,0.0982,0.68373,0.89276,0.88566,0.90486,0.94484,0.94181,0.18873,0.88888,0.28644,0.000495062,0.000495062,0.000495062
30,1870.15,0.09123,0.66532,0.90618,0.91827,0.9003,0.95461,0.95461,0.21243,0.87113,0.30155,0.000473064,0.000473064,0.000473064
31,1935.2,0.0929,0.64517,0.91376,0.89276,0.83399,0.9001,0.9001,0.21837,1.0785,0.31388,0.000451066,0.000451066,0.000451066
32,2001.8,0.08887,0.64606,0.89273,0.92537,0.9149,0.9499,0.9499,0.18442,0.80519,0.27252,0.000429068,0.000429068,0.000429068
33,2073.91,0.08229,0.65093,0.90299,0.92341,0.90384,0.94857,0.94857,0.17296,0.81514,0.25726,0.00040707,0.00040707,0.00040707
