epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2993.2,0.07135,0.51866,0.88936,0.95662,0.94674,0.97479,0.97479,0.23105,0.79216,0.32978,0.000359409,0.000359409,0.000359409
43,3057.96,0.07354,0.47388,0.88857,0.9516,0.94252,0.95936,0.95936,0.19175,0.69509,0.27394,0.000341077,0.000341077,0.000341077
44,3121.09,0.06877,0.47566,0.89829,0.92884,0.94017,0.95549,0.95549,0.20268,0.78682,0.29059,0.000322745,0.000322745,0.000322745
45,3184.49,0.07,0.4796,0.89633,0.93835,0.93088,0.95959,0.95959,0.19356,0.73568,0.26602,0.000304414,0.000304414,0.000304414
46,3247.63,0.06554,0.49495,0.90047,0.87064,0.97293,0.97126,0.97126,0.19738,0.70008,0.26755,0.000286083,0.000286083,0.000286083
47,3311.73,0.06266,0.48986,0.90054,0.95599,0.95105,0.96663,0.96663,0.16866,0.65619,0.22898,0.000267751,0.000267751,0.000267751
48,3375.06,0.06438,0.46492,0.88767,0.95313,0.95173,0.97007,0.97007,0.16101,0.61203,0.22947,0.00024942,0.00024942,0.00024942
49,3438.27,0.05889,0.45205,0.88966,0.94845,0.9434,0.96871,0.96871,0.18678,0.63083,0.26288,0.000231088,0.000231088,0.000231088
50,3501.54,0.06065,0.44983,0.8787,0.94236,0.93884,0.96355,0.96355,0.19807,0.68918,0.27324,0.000212757,0.000212757,0.000212757
51,3564.34,0.09675,0.67468,0.95537,0.95019,0.93137,0.94826,0.94826,0.14084,0.75081,0.20431,0.000194425,0.000194425,0.000194425
52,3628.06,0.06114,0.55921,0.92376,0.93475,0.95026,0.95951,0.95946,0.14341,0.7613,0.20533,0.000176094,0.000176094,0.000176094
53,3695.53,0.05371,0.47357,0.91842,0.93511,0.95013,0.95726,0.95726,0.18173,0.77347,0.25058,0.000157762,0.000157762,0.000157762
54,3756.09,0.05086,0.39835,0.91147,0.93433,0.9538,0.97461,0.97461,0.18528,0.72516,0.25221,0.000139431,0.000139431,0.000139431
55,3817.16,0.04774,0.39569,0.90354,0.96486,0.95216,0.9786,0.9786,0.17871,0.67339,0.24003,0.000121099,0.000121099,0.000121099
56,3877.76,0.04481,0.35632,0.91351,0.96379,0.95653,0.98181,0.98181,0.16918,0.64943,0.23112,0.000102768,0.000102768,0.000102768
57,3938.59,0.04343,0.33864,0.90891,0.96343,0.94453,0.98035,0.98035,0.16698,0.65177,0.23022,8.4436e-05,8.4436e-05,8.4436e-05
58,3999.36,0.04154,0.33222,0.91005,0.9531,0.93019,0.97873,0.97873,0.18076,0.69844,0.24494,6.61045e-05,6.61045e-05,6.61045e-05
59,4060.28,0.04291,0.33061,0.88964,0.94983,0.93075,0.9789,0.9789,0.17859,0.70691,0.23878,4.7773e-05,4.7773e-05,4.7773e-05
60,4120.96,0.04024,0.30917,0.9008,0.94964,0.92939,0.98068,0.98068,0.17045,0.68048,0.23088,2.94415e-05,2.94415e-05,2.94415e-05
