epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9778,0.56655,2.78046,1.25915,0.00321,0.9375,0.18745,0.05065,1.90187,4.16282,2.02649,0.00032867,0.00032867,0.00032867
2,78.7476,0.2814,1.94308,1.03817,0.3952,0.16824,0.4063,0.25297,1.275,3.44268,1.53583,0.000658332,0.000658332,0.000658332
3,118.03,0.2653,1.62366,0.98857,0.34866,0.62925,0.53248,0.39553,0.7272,3.42095,0.94243,0.000974412,0.000974412,0.000974412
4,158.922,0.26205,1.40246,0.97798,0.50428,0.81944,0.69484,0.46935,1.11055,2.47135,1.48335,0.00127691,0.00127691,0.00127691
5,200.048,0.25422,1.2613,0.97085,0.51564,0.9343,0.78709,0.66958,0.53501,3.80847,0.91392,0.00131582,0.00131582,0.00131582
6,241.692,0.23071,1.21802,0.96979,0.55165,0.875,0.84721,0.74637,0.45213,2.84222,0.57729,0.00128753,0.00128753,0.00128753
7,280.401,0.22912,1.08887,0.98451,0.88008,0.89839,0.95143,0.89924,0.30546,1.63606,0.46487,0.00125923,0.00125923,0.00125923
8,318.205,0.19955,0.93001,0.94131,0.79746,0.81825,0.91913,0.89879,0.24606,1.55523,0.4008,0.00123094,0.00123094,0.00123094
9,356.582,0.20021,0.92455,0.94541,0.88825,0.96765,0.97501,0.95495,0.21038,1.25149,0.31515,0.00120265,0.00120265,0.00120265
10,394.882,0.20059,0.89906,0.96111,0.84509,0.875,0.98107,0.91372,0.33677,1.50156,0.45166,0.00117435,0.00117435,0.00117435
11,432.711,0.18121,0.93666,0.95754,0.77971,0.95833,0.96981,0.95174,0.27438,1.60008,0.36283,0.00114606,0.00114606,0.00114606
12,470.463,0.18353,0.93748,0.9403,0.98536,1,0.995,0.96753,0.28389,1.01398,0.39815,0.00111776,0.00111776,0.00111776
13,508.727,0.17712,0.8576,0.94181,0.9647,0.95833,0.97665,0.84703,0.44717,1.27389,0.57774,0.00108947,0.00108947,0.00108947
14,547.218,0.1951,0.85111,0.94482,0.98225,0.96049,0.99382,0.95256,0.29434,1.00523,0.40272,0.00106118,0.00106118,0.00106118
15,585.259,0.1739,0.78269,0.95789,0.94635,0.96959,0.98166,0.95222,0.24491,0.97958,0.37359,0.00103288,0.00103288,0.00103288
16,623.404,0.18121,0.76356,0.94584,0.95347,0.96408,0.98416,0.96109,0.31957,0.95401,0.4435,0.00100459,0.00100459,0.00100459
17,661.908,0.16869,0.72701,0.93414,0.9872,0.97917,0.98955,0.98152,0.23659,0.85493,0.3559,0.000976293,0.000976293,0.000976293
18,700.481,0.15827,0.65977,0.92865,0.95793,0.99517,0.99265,0.9904,0.23563,0.83572,0.36345,0.000947999,0.000947999,0.000947999
19,738.442,0.15293,0.68111,0.93254,0.92051,0.93993,0.9916,0.97649,0.30704,1.02147,0.47444,0.000919704,0.000919704,0.000919704
20,776.735,0.14832,0.6371,0.92176,0.99345,0.99755,0.995,0.99223,0.25589,0.82192,0.39384,0.00089141,0.00089141,0.00089141
21,815.517,0.14904,0.66933,0.93284,0.93625,0.99761,0.995,0.99058,0.22194,0.79345,0.33452,0.000863116,0.000863116,0.000863116
22,853.676,0.14602,0.65234,0.92312,0.92655,0.95587,0.9798,0.97716,0.29949,0.98554,0.4304,0.000834822,0.000834822,0.000834822
23,891.918,0.12888,0.6651,0.92945,0.98799,0.97809,0.995,0.98432,0.22176,0.7607,0.34079,0.000806528,0.000806528,0.000806528
24,930.658,0.1234,0.58985,0.91965,0.99326,1,0.995,0.99021,0.20722,0.69908,0.31819,0.000778233,0.000778233,0.000778233
25,969.137,0.1193,0.5659,0.89939,0.97309,0.98363,0.995,0.995,0.18755,0.7311,0.30411,0.000749939,0.000749939,0.000749939
26,1007.44,0.12652,0.56096,0.9339,0.96784,0.97295,0.99265,0.99265,0.19045,0.76526,0.28946,0.000721645,0.000721645,0.000721645
27,1045.98,0.11522,0.52889,0.91471,0.97087,0.96261,0.99382,0.9785,0.23218,0.76663,0.34618,0.000693351,0.000693351,0.000693351
28,1084.68,0.11151,0.53073,0.90361,0.97387,0.9611,0.9916,0.91005,0.33709,0.78393,0.4254,0.000665057,0.000665057,0.000665057
29,1122.76,0.11471,0.56229,0.90973,0.977,0.97832,0.99265,0.9884,0.20671,0.71171,0.33183,0.000636762,0.000636762,0.000636762
30,1160.63,0.12335,0.55791,0.91451,0.90077,0.94041,0.98054,0.98054,0.19902,0.77823,0.30554,0.000608468,0.000608468,0.000608468
31,1198.55,0.10708,0.5132,0.90613,0.95336,0.93483,0.98719,0.98719,0.19912,0.72444,0.29248,0.000580174,0.000580174,0.000580174
32,1236.52,0.10553,0.52073,0.90055,0.97429,0.96105,0.995,0.995,0.22969,0.71533,0.34579,0.00055188,0.00055188,0.00055188
33,1274.42,0.10495,0.49277,0.89601,0.95529,0.95994,0.99382,0.99158,0.21722,0.68843,0.32986,0.000523586,0.000523586,0.000523586
34,1312.67,0.0997,0.46846,0.9143,0.90781,0.93667,0.98892,0.98892,0.13121,0.72651,0.21051,0.000495291,0.000495291,0.000495291
35,1350.87,0.09871,0.48102,0.90996,0.89893,0.97278,0.98892,0.98892,0.13792,0.70627,0.21691,0.000466997,0.000466997,0.000466997
36,1389.57,0.09079,0.47496,0.90432,0.97202,0.97917,0.99147,0.99147,0.1522,0.66808,0.23886,0.000438703,0.000438703,0.000438703
37,1431.82,0.10087,0.45903,0.91632,0.94752,0.96417,0.98831,0.97945,0.24092,0.73176,0.36084,0.000410409,0.000410409,0.000410409
38,1475.41,0.09157,0.48821,0.90552,0.93461,0.95816,0.99265,0.98239,0.27657,0.74485,0.40652,0.000382115,0.000382115,0.000382115
39,1519.63,0.08623,0.44073,0.90728,0.95809,0.99943,0.995,0.99076,0.22926,0.68003,0.34114,0.00035382,0.00035382,0.00035382
40,1566.44,0.08428,0.40921,0.89125,0.98298,1,0.995,0.99076,0.20469,0.65421,0.3038,0.000325526,0.000325526,0.000325526
41,1606.5,0.16502,0.9229,1.05039,0.97086,0.99837,0.995,0.995,0.1664,0.64004,0.24821,0.000297232,0.000297232,0.000297232
42,1644.53,0.10048,0.6653,0.94778,0.99693,0.98185,0.995,0.995,0.20515,0.70634,0.29077,0.000268938,0.000268938,0.000268938
43,1682.78,0.07581,0.5848,0.91115,0.96621,0.96085,0.99147,0.99147,0.19956,0.86171,0.28028,0.000240644,0.000240644,0.000240644
44,1721.17,0.07147,0.48918,0.91361,0.94229,0.97634,0.99265,0.99265,0.1977,0.80229,0.27493,0.000212349,0.000212349,0.000212349
45,1758.93,0.08205,0.54051,0.9069,0.97804,0.97982,0.995,0.995,0.21442,0.70113,0.3001,0.000184055,0.000184055,0.000184055
46,1797.46,0.06253,0.48541,0.91273,0.97349,0.98098,0.995,0.995,0.21695,0.67946,0.30435,0.000155761,0.000155761,0.000155761
47,1835.49,0.05741,0.4425,0.92988,0.9472,0.99305,0.995,0.995,0.20631,0.69421,0.2892,0.000127467,0.000127467,0.000127467
48,1873.29,0.06017,0.41614,0.90246,0.94606,0.99994,0.995,0.995,0.18722,0.67892,0.26351,9.91726e-05,9.91726e-05,9.91726e-05
49,1912.26,0.05099,0.53602,0.91596,0.94477,1,0.995,0.995,0.17631,0.68789,0.24782,7.08784e-05,7.08784e-05,7.08784e-05
50,1950.57,0.05389,0.41549,0.91154,0.94355,1,0.995,0.995,0.17314,0.69321,0.24483,4.25842e-05,4.25842e-05,4.25842e-05
